SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MAKS,ST,28-09-2022,20.0,20.0,21.0,20.0,21.0,21.0,20.18,"6,90,000","1,39,26,000.00",94,"6,90,000",100.00
MAKS,ST,29-09-2022,21.0,22.05,22.05,22.05,22.05,22.05,22.05,"30,000","6,61,500.00",5,"30,000",100.00
MAKS,ST,30-09-2022,22.05,23.15,23.15,23.15,23.15,23.15,23.15,"60,000","13,89,000.00",10,"60,000",100.00
MAKS,ST,03-10-2022,23.15,23.95,24.3,22.0,24.0,24.25,23.5,"5,76,000","1,35,35,700.00",90,"5,40,000",93.75
MAKS,ST,04-10-2022,24.25,23.25,24.0,23.05,23.05,23.05,23.53,"90,000","21,17,700.00",15,"84,000",93.33
MAKS,ST,06-10-2022,23.05,22.0,22.0,21.9,21.9,21.9,21.94,"1,02,000","22,37,400.00",17,"90,000",88.24
MAKS,ST,07-10-2022,21.9,20.85,20.85,20.85,20.85,20.85,20.85,"6,000","1,25,100.00",1,"6,000",100.00
MAKS,ST,10-10-2022,20.85,19.85,21.8,19.85,21.8,21.8,20.7,"1,92,000","39,73,500.00",30,"1,62,000",84.38
MAKS,ST,11-10-2022,21.8,21.5,21.5,20.85,20.85,20.85,21.17,"60,000","12,70,200.00",10,"54,000",90.00
MAKS,ST,12-10-2022,20.85,20.85,20.85,19.85,19.85,19.85,19.99,"1,62,000","32,39,100.00",14,"1,62,000",100.00
MAKS,SM,13-10-2022,19.85,20.25,22.05,20.25,21.9,21.95,21.43,"84,000","17,99,700.00",14,"60,000",71.43
MAKS,SM,14-10-2022,21.95,22.4,26.3,22.4,26.3,26.3,25.33,"1,98,000","50,15,700.00",33,"1,62,000",81.82
MAKS,SM,17-10-2022,26.3,27.0,31.55,25.5,31.55,31.55,30.48,"2,64,000","80,47,200.00",44,"1,44,000",54.55
MAKS,SM,18-10-2022,31.55,32.4,33.0,28.4,28.4,28.4,29.98,"1,50,000","44,96,400.00",25,"78,000",52.00
MAKS,SM,19-10-2022,28.4,26.85,27.25,25.6,26.0,26.0,26.62,"60,000","15,96,900.00",10,"48,000",80.00
MAKS,SM,20-10-2022,26.0,26.5,28.6,26.5,28.6,28.6,28.19,"66,000","18,60,600.00",11,"66,000",100.00
MAKS,SM,21-10-2022,28.6,29.5,31.45,29.5,31.45,31.45,30.96,"78,000","24,15,000.00",13,"42,000",53.85
MAKS,SM,24-10-2022,31.45,33.1,34.55,33.1,34.55,34.55,34.22,"78,000","26,69,100.00",13,"72,000",92.31
MAKS,SM,25-10-2022,34.55,37.5,38.0,37.5,38.0,38.0,37.85,"42,000","15,89,700.00",7,"42,000",100.00
MAKS,SM,27-10-2022,38.0,39.9,39.9,39.9,39.9,39.9,39.9,"24,000","9,57,600.00",4,"24,000",100.00
MAKS,SM,28-10-2022,39.9,41.85,41.85,37.95,41.85,41.65,39.62,"3,48,000","1,37,89,200.00",53,"1,98,000",56.90
MAKS,SM,31-10-2022,41.65,42.6,43.7,40.25,43.7,43.7,42.41,"1,08,000","45,79,800.00",18,"72,000",66.67
MAKS,SM,01-11-2022,43.7,45.85,45.85,45.85,45.85,45.85,45.85,"18,000","8,25,300.00",3,"18,000",100.00
MAKS,SM,02-11-2022,45.85,47.85,48.1,47.8,48.1,48.1,47.99,"84,000","40,31,100.00",13,"78,000",92.86
MAKS,SM,03-11-2022,48.1,49.0,50.5,49.0,50.5,50.5,50.32,"78,000","39,25,200.00",13,"72,000",92.31
MAKS,SM,04-11-2022,50.5,52.85,53.0,52.85,53.0,53.0,52.98,"36,000","19,07,100.00",6,"30,000",83.33
MAKS,SM,07-11-2022,53.0,53.6,53.6,50.35,50.35,50.35,51.3,"1,20,000","61,56,000.00",20,"84,000",70.00
MAKS,SM,09-11-2022,50.35,47.85,48.9,47.85,47.85,47.85,47.96,"1,98,000","94,96,200.00",26,"1,38,000",69.70
MAKS,SM,10-11-2022,47.85,45.8,50.2,45.5,50.2,50.2,47.15,"1,02,000","48,09,000.00",15,"84,000",82.35
MAKS,SM,11-11-2022,50.2,52.7,52.7,52.7,52.7,52.7,52.7,"6,000","3,16,200.00",1,"6,000",100.00
MAKS,SM,14-11-2022,52.7,55.3,55.3,50.1,50.1,50.1,53.59,"2,28,000","1,22,17,500.00",31,"1,20,000",52.63
MAKS,SM,15-11-2022,50.1,47.6,47.6,47.6,47.6,47.6,47.6,"24,000","11,42,400.00",4,"24,000",100.00
MAKS,SM,16-11-2022,47.6,45.3,45.3,45.25,45.25,45.25,45.27,"18,000","8,14,800.00",3,"18,000",100.00
MAKS,SM,17-11-2022,45.25,45.25,47.5,43.0,47.5,47.5,45.79,"1,08,000","49,44,900.00",17,"72,000",66.67
MAKS,SM,18-11-2022,47.5,49.0,49.0,47.0,47.0,47.0,48.12,"60,000","28,86,900.00",10,"30,000",50.00
MAKS,SM,21-11-2022,47.0,45.5,48.75,44.65,48.75,48.75,46.16,"36,000","16,61,700.00",6,"18,000",50.00
MAKS,SM,22-11-2022,48.75,46.35,46.35,46.35,46.35,46.35,46.35,"24,000","11,12,400.00",4,"18,000",75.00
MAKS,SM,23-11-2022,46.35,44.05,44.05,44.05,44.05,44.05,44.05,"48,000","21,14,400.00",8,"36,000",75.00
MAKS,SM,24-11-2022,44.05,45.0,45.0,45.0,45.0,45.0,45.0,"6,000","2,70,000.00",1,"6,000",100.00
MAKS,SM,25-11-2022,45.0,43.3,46.0,43.3,46.0,46.0,44.65,"12,000","5,35,800.00",2,-,-
MAKS,SM,29-11-2022,46.0,44.05,45.6,43.7,43.7,43.7,44.57,"66,000","29,41,500.00",11,"48,000",72.73
MAKS,SM,01-12-2022,43.7,42.0,42.0,41.55,41.55,41.55,41.6,"66,000","27,45,900.00",11,"36,000",54.55
MAKS,SM,02-12-2022,41.55,39.65,39.65,39.5,39.5,39.5,39.54,"36,000","14,23,500.00",6,"24,000",66.67
MAKS,SM,05-12-2022,39.5,37.55,37.6,37.55,37.55,37.55,37.56,"24,000","9,01,500.00",4,"18,000",75.00
