SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ORKLAINDIA,EQ,06-11-2025,730.0,750.1,760.0,692.55,709.0,713.65,731.6,"1,66,14,143","12,15,48,54,549.30","3,92,413","93,31,530",56.17
ORKLAINDIA,EQ,07-11-2025,713.65,714.0,727.0,702.2,707.1,706.95,712.33,1427316,10167.14,47342, 517517,36.26
ORKLAINDIA,EQ,10-11-2025,706.95,704.95,708.95,672.05,673.0,675.4,685.68,1032335,7078.54,52305, 516581,50.04
ORKLAINDIA,EQ,11-11-2025,675.4,673.0,690.5,671.05,686.0,686.65,678.52,530962,3602.68,26525, 249596,47.01
ORKLAINDIA,EQ,12-11-2025,686.65,691.95,691.95,663.4,664.0,667.75,673.04,535229,3602.29,22450, 285150,53.28
ORKLAINDIA,EQ,13-11-2025,667.75,667.0,678.95,656.1,661.65,664.85,666.93,752964,5021.73,29782, 316999,42.1
ORKLAINDIA,EQ,14-11-2025,664.85,654.1,682.4,645.7,665.0,667.15,663.16,911209,6042.74,40295, 357124,39.19
ORKLAINDIA,EQ,17-11-2025,667.15,667.2,690.5,664.2,680.1,679.7,679.81,448303,3047.61,25661, 179833,40.11
ORKLAINDIA,EQ,18-11-2025,679.7,680.0,682.8,667.25,670.0,671.8,674.61,266069,1794.92,15889, 91133,34.25
ORKLAINDIA,EQ,19-11-2025,671.8,670.5,716.9,670.5,709.9,707.2,701.68,1777363,12471.45,69394, 519443,29.23
ORKLAINDIA,EQ,20-11-2025,707.2,714.25,714.25,675.0,676.8,678.7,693.19,420738,2916.52,25415, 136342,32.41
ORKLAINDIA,EQ,21-11-2025,678.7,678.7,679.95,662.55,665.0,666.6,671.91,295570,1985.95,16566, 124131,42.0
ORKLAINDIA,EQ,24-11-2025,666.6,670.0,670.3,645.0,647.45,648.75,654.97,253811,1662.39,19618, 125420,49.41
ORKLAINDIA,EQ,25-11-2025,648.75,651.9,658.0,642.0,655.95,655.55,650.68,151982,988.92,9955, 46165,30.38
ORKLAINDIA,EQ,26-11-2025,655.55,657.9,667.8,655.65,661.5,661.35,662.76,140884,933.72,11713, 52653,37.37
ORKLAINDIA,EQ,27-11-2025,661.35,663.95,667.8,656.0,659.0,657.7,660.38,130544,862.08,12167, 52478,40.2
ORKLAINDIA,EQ,28-11-2025,657.7,663.7,666.5,646.5,646.5,648.35,655.86,169219,1109.84,10206, 73437,43.4
ORKLAINDIA,EQ,01-12-2025,648.35,648.35,653.0,625.8,632.45,632.45,641.37,231646,1485.71,20721, 118672,51.23
ORKLAINDIA,EQ,02-12-2025,632.45,632.6,636.2,618.0,621.0,620.15,623.49,192738,1201.7,17594, 83207,43.17
ORKLAINDIA,EQ,03-12-2025,620.15,615.1,617.55,602.3,608.0,610.85,609.25,274605,1673.03,24010, 142017,51.72
ORKLAINDIA,EQ,04-12-2025,610.85,615.0,625.0,603.05,621.0,618.8,614.08,324321,1991.59,20884, 143949,44.38
ORKLAINDIA,EQ,05-12-2025,618.8,618.7,633.2,616.1,630.05,630.85,627.79,190117,1193.53,16031, 92877,48.85
ORKLAINDIA,EQ,08-12-2025,630.85,625.95,625.95,605.0,611.9,609.3,613.52,168008,1030.77,18607, 83749,49.85
ORKLAINDIA,EQ,09-12-2025,609.3,609.0,618.85,597.2,614.0,613.7,610.42,211534,1291.24,25114, 111264,52.6
ORKLAINDIA,EQ,10-12-2025,613.7,615.0,618.5,612.15,615.1,615.0,614.97,189146,1163.2,11314, 144756,76.53
ORKLAINDIA,EQ,11-12-2025,615.0,615.1,623.0,615.1,622.0,622.2,620.18,131469,815.35,10654, 89584,68.14
ORKLAINDIA,EQ,12-12-2025,622.2,621.95,626.3,621.0,625.0,624.65,624.22,46483,290.16,5362, 32071,69.0
