SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SHREEKARNI,ST,14-03-2024,227.0,260.0,273.0,260.0,273.0,273.0,264.39,"6,55,200","17,32,26,720.00",851,"6,55,200",100.0
SHREEKARNI,ST,15-03-2024,273.0,286.65,286.65,286.65,286.65,286.65,286.65,"29,400","84,27,510.00",49,"29,400",100.0
SHREEKARNI,ST,18-03-2024,286.65,300.95,300.95,300.95,300.95,300.95,300.95,"36,000","1,08,34,200.00",47,"36,000",100.0
SHREEKARNI,ST,19-03-2024,300.95,315.95,315.95,315.0,315.95,315.95,315.94,"3,34,200","10,55,87,580.00",336,"3,13,200",93.72
SHREEKARNI,ST,20-03-2024,315.95,329.9,331.7,325.0,331.7,331.7,331.14,"57,600","1,90,73,880.00",75,"57,600",100.0
SHREEKARNI,ST,21-03-2024,331.7,348.25,348.25,348.25,348.25,348.25,348.25,"4,200","14,62,650.00",7,"4,200",100.0
SHREEKARNI,ST,22-03-2024,348.25,365.65,365.65,365.65,365.65,365.65,365.65,"12,000","43,87,800.00",18,"12,000",100.0
SHREEKARNI,ST,26-03-2024,365.65,383.9,383.9,347.4,383.9,383.9,367.37,"2,51,400","9,23,56,110.00",357,"2,12,400",84.49
SHREEKARNI,ST,27-03-2024,383.9,395.0,395.0,364.7,364.7,369.5,380.29,"1,37,400","5,22,51,600.00",185,"1,32,000",96.07
SHREEKARNI,ST,28-03-2024,369.5,369.5,370.0,351.05,364.0,358.65,358.64,"75,600","2,71,13,550.00",105,"68,400",90.48
SHREEKARNI,SM,01-04-2024,358.65,370.0,380.0,330.0,348.0,349.05,350.42,"75,000","2,62,81,500.00",120,"48,600",64.8
SHREEKARNI,SM,02-04-2024,349.05,358.9,358.9,344.0,353.95,352.2,350.56,"34,800","1,21,99,380.00",58,"27,000",77.59
SHREEKARNI,SM,03-04-2024,352.2,345.5,350.0,345.0,346.2,346.95,347.38,"58,200","2,02,17,540.00",53,"51,600",88.66
SHREEKARNI,SM,04-04-2024,346.95,340.0,347.95,325.05,339.0,339.75,335.05,"69,000","2,31,18,540.00",96,"54,000",78.26
SHREEKARNI,SM,05-04-2024,339.75,338.0,349.0,336.0,344.5,343.0,342.29,"15,000","51,34,320.00",25,"12,000",80.0
SHREEKARNI,SM,08-04-2024,343.0,344.0,411.6,340.2,411.6,411.6,397.91,"2,19,000","8,71,42,680.00",280,"1,17,000",53.42
