SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
BHARATGEAR,EQ,04-01-1996,48.20,48.2,45.0,45.0,-,45.0,45.0,100,"4,500.00",-,-,-
BHARATGEAR,EQ,09-01-1996,45.00,45.0,43.0,41.0,-,43.0,42.71,350,"14,950.00",-,-,-
BHARATGEAR,EQ,11-01-1996,43.00,43.0,41.0,41.0,-,41.0,41.0,100,"4,100.00",-,-,-
BHARATGEAR,EQ,15-01-1996,41.00,41.0,42.0,42.0,-,42.0,42.0,100,"4,200.00",-,-,-
BHARATGEAR,EQ,18-01-1996,42.00,42.0,44.0,42.5,-,42.5,43.0,150,"6,450.00",-,-,-
BHARATGEAR,EQ,23-01-1996,42.50,42.5,44.25,42.0,-,42.0,43.46,"1,600","69,530.00",-,-,-
BHARATGEAR,EQ,24-01-1996,42.00,42.0,42.0,41.0,-,42.0,41.71,700,"29,197.50",-,-,-
BHARATGEAR,EQ,30-01-1996,42.00,42.0,38.0,38.0,-,38.0,38.0,300,"11,400.00",-,-,-
BHARATGEAR,EQ,31-01-1996,38.00,38.0,40.5,40.5,-,40.5,40.5,100,"4,050.00",-,-,-
BHARATGEAR,EQ,06-02-1996,40.50,40.5,42.5,42.5,-,42.5,42.5,50,"2,125.00",-,-,-
BHARATGEAR,EQ,19-02-1996,42.50,42.5,47.0,47.0,-,47.0,47.0,50,"2,350.00",-,-,-
BHARATGEAR,EQ,20-02-1996,47.00,47.0,45.0,45.0,-,45.0,45.0,100,"4,500.00",-,-,-
BHARATGEAR,EQ,23-02-1996,45.00,45.0,48.75,48.5,-,48.65,48.63,100,"4,862.50",-,-,-
BHARATGEAR,EQ,26-02-1996,48.65,51.0,51.0,51.0,-,51.0,51.0,200,"10,200.00",-,-,-
BHARATGEAR,EQ,27-02-1996,51.00,51.0,48.0,48.0,-,48.0,48.0,200,"9,600.00",-,-,-
BHARATGEAR,EQ,29-02-1996,48.00,48.0,47.0,47.0,-,47.0,47.0,300,"14,100.00",-,-,-
