SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
CPEDU,BE,05-09-2025,134.75,229.07,240.52,217.61,237.0,235.45,228.15,"1,36,923","3,12,39,113.80",681,-,-
CPEDU,BE,05-09-2025,134.75,229.07,240.52,217.61,237.0,235.45,228.15,136923,312.39,681, -, -
CPEDU,BE,08-09-2025,235.45,239.9,247.22,239.9,247.22,247.22,246.13,28210,69.43,157, -, -
CPEDU,BE,09-09-2025,247.22,259.58,259.58,252.16,259.58,259.58,259.57,32695,84.87,136, -, -
CPEDU,BE,10-09-2025,259.58,272.55,272.55,246.6,251.85,252.41,258.65,64748,167.47,462, -, -
CPEDU,BE,11-09-2025,252.41,241.8,251.8,239.78,243.5,240.48,240.55,58224,140.06,351, -, -
CPEDU,BE,12-09-2025,240.48,233.0,252.5,233.0,252.5,252.5,249.4,15067,37.58,180, -, -
CPEDU,BE,15-09-2025,252.5,265.12,265.12,265.12,265.12,265.12,265.12,19027,50.44,85, -, -
CPEDU,BE,16-09-2025,265.12,269.9,269.9,260.25,260.51,261.65,264.36,16124,42.63,141, -, -
CPEDU,BE,17-09-2025,261.65,258.11,258.8,252.5,257.9,256.87,255.05,18797,47.94,137, -, -
CPEDU,BE,18-09-2025,256.87,257.98,269.0,254.99,269.0,266.76,263.88,12964,34.21,164, -, -
CPEDU,EQ,19-09-2025,266.76,277.8,320.11,277.8,292.2,295.04,309.73,399213,1236.49,5506, 114483, 28.68
CPEDU,EQ,22-09-2025,295.04,290.9,295.0,257.05,262.0,264.63,269.83,225606,608.75,4894, 118219, 52.40
CPEDU,EQ,23-09-2025,264.63,262.97,292.0,257.43,277.0,274.65,276.59,172572,477.31,3835, 48335, 28.01
CPEDU,EQ,24-09-2025,274.65,277.0,297.7,272.42,273.61,275.11,286.31,183547,525.52,3928, 49857, 27.16
CPEDU,EQ,25-09-2025,275.11,276.5,289.79,273.6,278.11,278.28,280.02,49912,139.76,1451, 23061, 46.20
CPEDU,EQ,26-09-2025,278.28,274.12,278.88,261.02,272.3,270.41,272.23,18914,51.49,531, 9463, 50.03
CPEDU,EQ,29-09-2025,270.41,270.41,273.07,262.0,262.7,263.48,266.3,14884,39.64,1225, 8784, 59.02
CPEDU,EQ,30-09-2025,263.48,263.01,267.14,261.0,265.0,263.39,264.26,8867,23.43,281, 6685, 75.39
CPEDU,EQ,01-10-2025,263.39,265.25,279.5,260.4,275.0,271.15,270.09,14150,38.22,675, 6263, 44.26
CPEDU,EQ,03-10-2025,271.15,270.1,285.0,269.1,283.0,280.3,276.97,15130,41.91,674, 10019, 66.22
CPEDU,EQ,06-10-2025,280.3,281.0,285.5,276.6,282.0,284.15,281.01,10236,28.76,560, 7644, 74.68
CPEDU,EQ,07-10-2025,284.15,285.0,286.15,281.75,284.95,283.0,283.39,6711,19.02,355, 5444, 81.12
CPEDU,EQ,08-10-2025,283.0,283.0,286.0,276.05,276.05,277.9,279.5,5671,15.85,130, 4974, 87.71
CPEDU,EQ,09-10-2025,277.9,275.55,284.05,275.1,275.55,275.75,277.51,5506,15.28,248, 4271, 77.57
CPEDU,EQ,10-10-2025,275.75,279.85,294.0,279.8,281.1,281.8,286.01,25142,71.91,870, 12570, 50.00
CPEDU,EQ,13-10-2025,281.8,281.0,283.05,275.5,278.0,276.65,278.44,6751,18.8,194, 5958, 88.25
CPEDU,EQ,14-10-2025,276.65,278.1,278.95,266.55,268.1,269.05,271.91,4200,11.42,219, 3185, 75.83
CPEDU,EQ,15-10-2025,269.05,269.05,282.0,268.7,272.2,273.15,273.93,4688,12.84,184, 2798, 59.68
CPEDU,EQ,16-10-2025,273.15,277.9,281.05,271.1,272.0,271.35,274.49,8250,22.65,166, 6963, 84.40
CPEDU,EQ,17-10-2025,271.35,260.5,269.95,260.5,265.1,265.4,266.68,3910,10.43,160, 2602, 66.55
CPEDU,EQ,20-10-2025,265.4,279.0,311.6,275.0,292.15,294.3,298.95,227244,679.35,6869, 64979, 28.59
CPEDU,EQ,21-10-2025,294.3,304.5,311.2,300.2,309.9,309.65,308.81,41232,127.33,1347, 28141, 68.25
CPEDU,EQ,23-10-2025,309.65,309.65,327.5,309.0,322.95,320.4,319.78,69765,223.09,2043, 34520, 49.48
CPEDU,EQ,24-10-2025,320.4,324.95,324.95,306.2,315.0,310.35,314.71,24388,76.75,803, 16504, 67.67
CPEDU,EQ,27-10-2025,310.35,317.5,325.0,303.1,306.6,307.9,317.67,31185,99.07,899, 14463, 46.38
CPEDU,EQ,28-10-2025,307.9,310.0,338.0,309.9,331.75,331.0,327.44,70585,231.12,2907, 27348, 38.74
CPEDU,EQ,29-10-2025,331.0,338.7,338.75,320.05,324.95,324.45,328.41,41458,136.15,1278, 25702, 62.00
