SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
MARC,ST,24-12-2025,93.0,74.4,74.4,70.7,70.7,70.7,71.42,80400,57.42,54,80400,100.0
MARC,ST,26-12-2025,70.7,67.2,67.2,67.2,67.2,67.2,67.2,441600,296.76,163,441600,100.0
MARC,ST,29-12-2025,67.2,63.85,63.85,63.85,63.85,63.85,63.85,530400,338.66,239,530400,100.0
MARC,ST,30-12-2025,63.85,60.7,60.7,60.7,60.7,60.7,60.7,457200,277.52,183,457200,100.0
MARC,ST,31-12-2025,60.7,57.7,57.7,57.7,57.7,57.7,57.7,534000,308.12,258,534000,100.0
MARC,ST,01-01-2026,57.7,54.85,60.5,54.85,55.0,56.1,55.87,988800,552.44,493,979200,99.03
MARC,ST,02-01-2026,56.1,53.3,54.85,53.3,53.3,53.3,53.38,276000,147.32,142,268800,97.39
MARC,ST,05-01-2026,53.3,51.1,53.25,50.65,50.65,50.65,50.91,122400,62.31,63,121200,99.02
MARC,ST,06-01-2026,50.65,48.15,48.15,48.15,48.15,48.15,48.15,63600,30.62,37,63600,100.0
MARC,ST,07-01-2026,48.15,45.75,45.75,45.75,45.75,45.75,45.75,67200,30.74,39,67200,100.0
MARC,SM,08-01-2026,45.75,43.75,49.45,42.1,42.7,42.8,44.92,627600,281.9,455,320400,51.05
MARC,SM,09-01-2026,42.8,42.5,45.6,41.0,41.2,41.55,42.56,219600,93.46,137,148800,67.76
MARC,SM,12-01-2026,41.55,42.0,44.0,40.75,42.0,41.6,42.12,223200,94.02,125,162000,72.58
MARC,SM,13-01-2026,41.6,43.5,43.5,41.5,42.0,42.75,42.27,168000,71.01,79,138000,82.14
MARC,SM,14-01-2026,42.75,42.0,43.15,42.0,42.75,42.9,42.64,50400,21.49,31,38400,76.19
MARC,SM,16-01-2026,42.9,43.3,48.5,43.0,47.0,46.75,45.66,132000,60.27,94,84000,63.64
MARC,SM,19-01-2026,46.75,47.4,50.15,47.0,50.15,49.7,48.52,148800,72.2,102,111600,75.0
MARC,SM,20-01-2026,49.7,50.5,54.6,50.5,53.45,52.55,52.8,226800,119.75,170,136800,60.32
MARC,SM,21-01-2026,52.55,53.45,53.9,49.0,51.7,50.6,50.45,63600,32.08,42,44400,69.81
MARC,SM,22-01-2026,50.6,51.0,51.0,48.25,48.8,48.6,49.23,24000,11.82,16,21600,90.0
MARC,SM,23-01-2026,48.6,48.8,50.0,48.8,49.1,49.1,49.18,15600,7.67,7, 14400, 92.31
