SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
GJL,ST,11-02-2026,88.0,96.0,100.8,91.4,100.8,100.8,96.16,"24,36,800","23,43,28,720.00",608,"24,35,200",99.93
GJL,ST,12-02-2026,100.8,104.9,105.8,104.9,105.8,105.8,105.29,32000,33.69,17, 32000,100.0
GJL,ST,13-02-2026,105.8,111.05,111.05,111.05,111.05,111.05,111.05,9600,10.66,4, 9600,100.0
GJL,ST,16-02-2026,111.05,116.6,116.6,116.6,116.6,116.6,116.6,4800,5.6,3, 4800,100.0
GJL,ST,17-02-2026,116.6,122.4,122.4,122.4,122.4,122.4,122.4,3200,3.92,2, 3200,100.0
GJL,ST,18-02-2026,122.4,128.5,128.5,128.5,128.5,128.5,128.5,57600,74.02,24, 48000,83.33
GJL,ST,19-02-2026,128.5,128.95,134.9,128.0,134.9,134.9,129.41,43200,55.91,27, 43200,100.0
GJL,ST,20-02-2026,134.9,139.0,141.6,139.0,141.6,141.6,141.45,27200,38.47,13, 27200,100.0
GJL,ST,23-02-2026,141.6,148.65,148.65,148.65,148.65,148.65,148.65,17600,26.16,8, 17600,100.0
GJL,ST,24-02-2026,148.65,156.05,156.05,156.05,156.05,156.05,156.05,4800,7.49,1, 4800,100.0
GJL,SM,25-02-2026,156.05,163.9,171.65,163.9,171.65,171.65,168.45,33600,56.6,20, 25600,76.19
GJL,SM,26-02-2026,171.65,188.8,188.8,154.5,154.5,155.65,174.73,91200,159.35,54, 64000, 70.18
