SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
ETL,ST,08-07-2025,734.6,753.9,791.55,750.0,774.0,764.8,769.79,"17,100","1,31,63,392.50",89,"16,800",98.25
ETL,ST,09-07-2025,764.8,770.0,803.0,751.0,803.0,798.55,776.31,"11,700","90,82,837.50",51,"11,400",97.44
ETL,ST,10-07-2025,798.55,820.0,838.45,820.0,838.45,838.45,833.09,"1,200","9,99,705.00",8,"1,200",100.0
ETL,ST,11-07-2025,838.45,880.35,880.35,880.35,880.35,880.35,880.35,"12,900","1,13,56,515.00",22,"12,900",100.0
ETL,ST,14-07-2025,880.35,924.35,924.35,888.0,910.0,903.4,916.06,"16,350","1,49,77,597.50",40,"14,400",88.07
ETL,ST,15-07-2025,903.4,939.0,939.0,860.0,901.0,901.0,898.64,"13,350","1,19,96,857.50",66,"13,050",97.75
ETL,ST,16-07-2025,901.0,900.0,946.05,888.0,946.05,946.05,921.51,"10,350","95,37,607.50",49,"10,050",97.1
ETL,ST,17-07-2025,946.05,993.35,993.35,935.0,980.0,967.0,979.03,"4,200","41,11,912.50",27,"2,850",67.86
ETL,ST,18-07-2025,967.0,921.25,950.0,921.25,933.0,933.0,935.47,"1,200","11,22,562.50",8,"1,200",100.0
ETL,ST,21-07-2025,933.0,933.0,937.0,900.8,907.6,906.95,919.0,"7,050","64,78,942.50",35,"6,900",97.87
ETL,SM,22-07-2025,906.95,910.0,915.0,902.05,914.0,914.0,910.12,"4,200","38,22,495.00",11,"4,200",100.0
ETL,SM,23-07-2025,914.0,915.0,925.05,915.0,925.0,925.0,923.68,"4,050","37,40,887.50",11,"3,600",88.89
ETL,SM,24-07-2025,925.0,950.0,950.0,905.05,918.05,918.05,919.7,"1,050","9,65,685.00",5,"1,050",100.0
ETL,SM,25-07-2025,918.05,940.0,940.0,930.0,935.0,935.0,935.5,900,8.42,6, 900,100.0
ETL,SM,28-07-2025,935.0,935.0,1120.0,935.0,1005.0,999.75,1028.35,6450,66.33,38, 3600,55.81
ETL,SM,29-07-2025,999.75,1060.0,1074.9,1050.0,1050.0,1059.9,1064.9,2250,23.96,15, 1950,86.67
ETL,SM,30-07-2025,1059.9,1135.0,1235.0,1090.0,1104.0,1120.0,1172.52,7050,82.66,43, 5700,80.85
ETL,SM,31-07-2025,1120.0,1125.6,1125.7,1040.0,1054.0,1054.0,1071.52,2550,27.32,16, 1950,76.47
ETL,SM,01-08-2025,1054.0,1005.1,1040.0,1005.0,1040.0,1040.0,1021.77,1650,16.86,11, 1350,81.82
ETL,SM,04-08-2025,1040.0,990.1,1060.0,990.1,1050.0,1050.0,1037.25,1950,20.23,11, 1950,100.0
ETL,SM,05-08-2025,1050.0,950.1,1060.0,950.1,1055.0,1055.0,1034.3,1050,10.86,7, 900,85.71
ETL,SM,06-08-2025,1055.0,1045.0,1055.0,1045.0,1055.0,1055.0,1051.67,450,4.73,3, 450,100.0
ETL,SM,07-08-2025,1055.0,1080.0,1100.0,1055.0,1055.0,1055.0,1081.43,1050,11.36,6, 1050,100.0
ETL,SM,08-08-2025,1055.0,1050.0,1050.0,1000.0,1032.0,1033.75,1033.93,2100,21.71,14, 1950,92.86
ETL,SM,11-08-2025,1033.75,1020.0,1032.0,1020.0,1032.0,1032.0,1021.33,1350,13.79,2, 1350,100.0
ETL,SM,12-08-2025,1032.0,1032.0,1050.0,1031.2,1049.95,1049.95,1039.03,750,7.79,5, 600,80.0
ETL,SM,13-08-2025,1049.95,1038.0,1038.0,1038.0,1038.0,1038.0,1038.0,150,1.56,1, 150,100.0
ETL,SM,14-08-2025,1038.0,1030.0,1030.0,1030.0,1030.0,1030.0,1030.0,300,3.09,2, 300,100.0
ETL,SM,18-08-2025,1030.0,1040.0,1050.0,1038.0,1050.0,1050.0,1041.2,750,7.81,3, 750,100.0
ETL,SM,19-08-2025,1050.0,1050.0,1050.0,1050.0,1050.0,1050.0,1050.0,150,1.58,1, 150,100.0
ETL,SM,20-08-2025,1050.0,1037.0,1037.0,1000.0,1000.0,1000.0,1015.62,2700,27.42,16, 2250,83.33
ETL,SM,21-08-2025,1000.0,1020.0,1021.0,1020.0,1021.0,1021.0,1020.5,300,3.06,2, 150,50.0
ETL,SM,22-08-2025,1021.0,1000.4,1014.0,1000.0,1002.0,1002.0,1001.08,4350,43.55,15, 3900,89.66
ETL,SM,25-08-2025,1002.0,1030.0,1049.95,990.0,1002.0,1002.0,1007.49,4050,40.8,15, 3750,92.59
ETL,SM,26-08-2025,1002.0,985.5,985.5,941.25,980.0,980.0,963.37,2550,24.57,9, 2100,82.35
ETL,SM,28-08-2025,980.0,1000.0,1000.0,970.0,970.0,975.0,985.0,750,7.39,5, 750,100.0
ETL,SM,29-08-2025,975.0,975.5,1000.0,973.0,1000.0,986.5,982.83,450,4.42,3, 450,100.0
ETL,SM,01-09-2025,986.5,1000.0,1000.0,950.0,950.0,950.0,968.27,1650,15.98,11, 1650,100.0
ETL,SM,02-09-2025,950.0,950.1,954.6,930.0,935.0,933.0,942.73,2550,24.04,16, 2550,100.0
ETL,SM,03-09-2025,933.0,930.1,936.0,920.0,920.0,925.85,927.07,1350,12.52,9, 1350,100.0
ETL,SM,04-09-2025,925.85,920.0,960.0,920.0,930.0,930.0,937.01,750,7.03,5, 750,100.0
ETL,SM,05-09-2025,930.0,916.55,925.0,890.05,900.0,894.1,911.7,1800,16.41,12, 1800,100.0
ETL,SM,08-09-2025,894.1,893.2,893.25,893.2,893.25,893.25,893.24,1200,10.72,5, 1200,100.0
ETL,SM,09-09-2025,893.25,875.05,907.0,870.05,895.0,895.0,884.96,7800,69.03,16, 7800,100.0
ETL,SM,10-09-2025,895.0,905.0,906.0,905.0,906.0,906.0,905.23,1950,17.65,2, 1950,100.0
ETL,SM,12-09-2025,906.0,885.05,885.05,885.05,885.05,885.05,885.05,450,3.98,2, 450,100.0
ETL,SM,15-09-2025,885.05,890.0,890.0,880.15,880.2,880.2,880.7,3150,27.74,10, 3000,95.24
ETL,SM,16-09-2025,880.2,885.05,919.0,885.05,905.0,905.0,904.93,1650,14.93,10, 1500,90.91
ETL,SM,17-09-2025,905.0,890.0,897.7,860.0,897.7,897.7,876.0,1650,14.45,11, 1500,90.91
ETL,SM,18-09-2025,897.7,880.0,891.0,875.0,875.05,875.05,878.4,1200,10.54,8, 1050,87.5
ETL,SM,19-09-2025,875.05,875.15,875.15,875.15,875.15,875.15,875.15,150,1.31,1, 150,100.0
ETL,SM,22-09-2025,875.15,870.05,890.0,870.05,890.0,888.5,879.28,600,5.28,3, 600,100.0
ETL,SM,23-09-2025,888.5,936.0,936.9,936.0,936.9,936.45,936.45,300,2.81,2, 300,100.0
ETL,SM,24-09-2025,936.45,935.0,939.0,875.3,939.0,939.0,905.61,1050,9.51,7, 900,85.71
