SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
INOXWIND,EQ,09-04-2015,325.0,400.0,448.85,400.0,440.55,438.4,419.94,"3,72,76,199","15,65,38,35,907.55","4,49,942","1,20,60,084",32.35
INOXWIND,EQ,10-04-2015,438.4,441.9,452.0,433.5,438.75,439.6,442.92,"49,20,286","2,17,92,93,238.30","71,569","12,78,638",25.99
INOXWIND,EQ,13-04-2015,439.6,437.5,442.75,423.6,429.5,430.25,432.55,"16,36,434","70,78,40,057.15","41,176","5,04,567",30.83
INOXWIND,EQ,15-04-2015,430.25,430.25,464.4,422.5,441.6,439.15,447.22,"47,03,486","2,10,34,74,337.05","68,325","8,96,017",19.05
INOXWIND,EQ,16-04-2015,439.15,441.95,487.0,441.9,477.35,479.5,465.91,"56,12,060","2,61,47,23,379.10","73,382","9,54,827",17.01
INOXWIND,EQ,17-04-2015,479.5,475.4,494.4,466.3,474.9,473.9,483.49,"35,28,516","1,70,59,95,935.10","58,626","5,58,383",15.82
INOXWIND,EQ,20-04-2015,473.9,474.8,477.6,446.65,452.6,450.7,463.3,"14,18,441","65,71,60,327.25","23,469","3,35,870",23.68
INOXWIND,EQ,21-04-2015,450.7,453.4,459.0,436.6,440.8,440.8,446.84,"11,55,631","51,63,81,119.95","19,596","3,36,539",29.12
INOXWIND,EQ,22-04-2015,440.8,443.3,449.5,418.35,444.2,441.85,438.18,"11,77,867","51,61,15,636.10","20,962","2,62,960",22.33
INOXWIND,EQ,23-04-2015,441.85,445.0,455.8,434.1,437.3,436.35,445.15,"8,23,774","36,66,99,978.05","15,532","1,83,077",22.22
INOXWIND,EQ,24-04-2015,436.35,438.35,439.5,415.0,420.0,420.4,423.59,"7,52,809","31,88,79,053.60","12,776","2,46,779",32.78
INOXWIND,EQ,27-04-2015,420.4,423.3,431.5,402.6,418.0,417.55,416.85,"12,14,104","50,60,94,978.85","27,196","3,81,831",31.45
INOXWIND,EQ,28-04-2015,417.55,417.95,434.9,412.8,428.0,429.65,426.06,"6,68,062","28,46,35,670.60","12,140","1,92,968",28.88
INOXWIND,EQ,29-04-2015,429.65,429.0,429.15,413.0,417.15,417.45,417.49,"11,25,210","46,97,60,788.15","15,964","7,17,159",63.74
INOXWIND,EQ,30-04-2015,417.45,416.3,428.8,416.15,425.25,426.35,423.56,"5,25,000","22,23,70,655.80","10,550","2,46,183",46.89
INOXWIND,EQ,04-05-2015,426.35,426.7,436.65,423.0,431.05,432.7,431.59,"3,23,518","13,96,27,044.95","6,615","82,730",25.57
INOXWIND,EQ,05-05-2015,432.7,428.15,432.0,419.35,422.3,423.15,425.66,"2,12,921","9,06,31,481.55","3,678","77,096",36.21
INOXWIND,EQ,06-05-2015,423.15,422.55,422.55,400.1,407.0,404.95,409.89,"3,87,624","15,88,81,652.70","7,684","1,96,787",50.77
INOXWIND,EQ,07-05-2015,404.95,402.0,414.3,401.0,404.0,406.15,407.02,"3,67,788","14,96,96,839.05","6,249","1,39,375",37.9
INOXWIND,EQ,08-05-2015,406.15,410.0,425.0,410.0,416.8,417.75,419.11,"3,57,288","14,97,42,356.10","8,066","1,07,831",30.18
INOXWIND,EQ,11-05-2015,417.75,418.0,442.4,418.0,437.0,434.6,432.06,"5,22,455","22,57,32,265.60","11,610","2,16,374",41.41
INOXWIND,EQ,12-05-2015,434.6,436.0,437.25,421.0,423.25,423.55,425.57,"3,19,958","13,61,65,121.35","6,929","1,97,851",61.84
INOXWIND,EQ,13-05-2015,423.55,429.0,458.95,428.8,451.9,452.15,448.4,"11,97,426","53,69,25,172.60","25,496","5,23,776",43.74
INOXWIND,EQ,14-05-2015,452.15,449.0,458.9,442.85,449.0,449.9,452.53,"6,33,351","28,66,11,356.70","15,628","3,07,812",48.6
INOXWIND,EQ,15-05-2015,449.9,450.8,471.7,450.35,471.0,467.1,462.87,"11,16,014","51,65,65,765.45","16,772","4,96,267",44.47
INOXWIND,EQ,18-05-2015,467.1,482.4,482.5,445.1,446.4,448.7,458.64,"19,31,454","88,58,40,862.95","29,124","7,30,541",37.82
INOXWIND,EQ,19-05-2015,448.7,446.7,458.7,444.7,456.4,456.4,454.03,"4,93,880","22,42,34,462.55","10,183","1,87,897",38.05
INOXWIND,EQ,20-05-2015,456.4,456.0,461.25,434.0,437.5,438.2,443.34,"5,23,768","23,22,07,801.35","9,144","2,31,776",44.25
INOXWIND,EQ,21-05-2015,438.2,439.0,448.5,429.95,441.8,441.5,440.46,"4,69,992","20,70,14,139.10","9,564","1,12,814",24.0
INOXWIND,EQ,22-05-2015,441.5,441.5,448.7,437.25,440.0,440.25,442.63,"3,09,097","13,68,15,220.90","6,953","1,07,728",34.85
INOXWIND,EQ,25-05-2015,440.25,443.0,446.5,434.8,435.3,436.05,439.91,"1,71,174","7,53,01,904.40","3,492","60,025",35.07
INOXWIND,EQ,26-05-2015,436.05,437.1,441.0,424.4,427.9,429.15,430.2,"3,54,564","15,25,34,165.90","5,183","2,18,350",61.58
INOXWIND,EQ,27-05-2015,429.15,426.95,438.0,421.5,436.0,435.25,433.48,"2,68,430","11,63,60,373.25","6,887","1,33,055",49.57
INOXWIND,EQ,28-05-2015,435.25,437.0,443.35,435.1,437.0,438.95,438.84,"4,75,036","20,84,65,874.60","10,169","3,03,622",63.92
INOXWIND,EQ,29-05-2015,438.95,439.4,443.1,434.4,435.2,435.75,438.12,"1,25,541","5,50,02,278.90","4,188","49,947",39.79
INOXWIND,EQ,01-06-2015,435.75,438.0,438.9,426.2,428.0,428.95,432.5,"1,20,112","5,19,48,234.10","2,603","65,425",54.47
INOXWIND,EQ,02-06-2015,428.95,429.95,436.7,419.7,423.4,423.05,428.19,"1,49,221","6,38,94,927.85","3,315","64,164",43.0
INOXWIND,EQ,03-06-2015,423.05,423.0,427.3,388.15,418.65,419.85,413.61,"3,95,358","16,35,23,042.95","6,683","2,34,961",59.43
INOXWIND,EQ,04-06-2015,419.85,418.2,422.0,410.1,420.0,419.45,416.87,"3,61,777","15,08,12,881.40","4,076","2,63,627",72.87
INOXWIND,EQ,05-06-2015,419.45,420.45,426.9,415.9,418.25,419.8,421.27,"1,43,022","6,02,50,635.50","2,609","78,485",54.88
