SYMBOL,SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
BIOPOL,ST,13-02-2026,108.0,111.0,111.0,105.45,105.5,105.5,110.62,1963200,2171.6,704,1963200,100.0
BIOPOL,ST,16-02-2026,105.5,100.25,100.25,100.25,100.25,100.25,100.25,3600,3.61,3,3600,100.0
BIOPOL,ST,17-02-2026,100.25,95.25,105.25,95.25,98.8,99.15,97.05,636000,617.23,156,612000,96.23
BIOPOL,ST,18-02-2026,99.15,94.2,99.9,94.2,99.9,99.2,94.89,196800,186.75,54,192000,97.56
BIOPOL,ST,19-02-2026,99.2,95.0,95.0,94.25,94.25,94.25,94.36,20400,19.25,16,19200,94.12
BIOPOL,ST,20-02-2026,94.25,90.5,98.0,89.55,93.8,92.25,95.46,70800,67.58,26,67200,94.92
BIOPOL,ST,23-02-2026,92.25,95.0,95.2,91.4,94.1,94.1,94.64,78000,73.82,29,78000,100.0
BIOPOL,ST,24-02-2026,94.1,91.0,94.1,91.0,94.1,94.1,92.37,3600,3.33,3,2400,66.67
BIOPOL,ST,25-02-2026,94.1,95.4,95.5,95.0,95.0,95.0,95.04,27600,26.23,6,27600,100.0
BIOPOL,ST,26-02-2026,95.0,95.0,95.0,91.0,94.95,94.95,93.65,3600,3.37,3,3600,100.0
BIOPOL,SM,27-02-2026,94.95,93.0,97.9,92.0,95.0,95.65,94.39,18000,16.99,15,15600,86.67
BIOPOL,SM,02-03-2026,95.65,89.6,93.8,84.75,93.7,92.25,89.52,37200,33.3,29,12000,32.26
BIOPOL,SM,04-03-2026,92.25,90.5,92.7,88.1,92.0,92.15,91.51,16800,15.37,14,6000,35.71
BIOPOL,SM,05-03-2026,92.15,95.0,95.0,89.5,89.5,89.5,93.28,7200,6.72,6,1200,16.67
BIOPOL,SM,06-03-2026,89.5,91.8,95.95,89.0,91.45,91.7,92.23,20400,18.81,15,8400,41.18
BIOPOL,SM,09-03-2026,91.7,88.0,101.0,87.15,97.0,96.7,93.57,33600,31.44,23,22800,67.86
BIOPOL,SM,10-03-2026,96.7,92.0,102.0,92.0,102.0,99.85,99.54,133200,132.59,46,121200,90.99
BIOPOL,SM,11-03-2026,99.85,104.0,104.0,100.0,101.0,101.0,101.17,7200,7.28,5,7200,100.0
BIOPOL,SM,12-03-2026,101.0,109.9,109.9,97.0,97.0,97.35,101.02,200400,202.45,52, 148800, 74.25
